year	Charles Dickens	Merry Christmas
1890	1.5128239202307929e-06	1.3865615703220362e-07
1891	1.4740392007947127e-06	1.3503777905400837e-07
1892	1.4789710982248444e-06	1.4237045421948225e-07
1893	1.455440667541552e-06	1.3973617996043686e-07
1894	1.4333172576438561e-06	1.3370951279512155e-07
1895	1.238730525139025e-06	1.3876366113306305e-07
1896	1.287344746612819e-06	1.393815937587663e-07
1897	1.200120745384733e-06	1.4280778413779315e-07
1898	1.1107285899925046e-06	1.4685818021981894e-07
1899	1.1195051976236364e-06	1.4981846163664159e-07
1900	1.1480006248478145e-06	1.5562389827599482e-07
1901	1.1319542230532015e-06	1.5925920544240008e-07
1902	1.1332123952862666e-06	1.6521098952385467e-07
1903	1.185731978888985e-06	1.6436728295892472e-07
1904	1.2382417529417061e-06	1.6358483126818362e-07
1905	1.4027417185908625e-06	1.7250484672461296e-07
1906	1.3876412643704889e-06	1.782087528973924e-07
1907	1.4848288287794276e-06	1.9337193789072315e-07
1908	1.5504423182781984e-06	2.1788783044485172e-07
1909	1.620892102697066e-06	2.3573965433700194e-07
1910	1.5370629041301851e-06	2.551403456761493e-07
1911	1.501408779144445e-06	2.758191369269168e-07
1912	1.3385776794296232e-06	2.856128641529462e-07
1913	1.328111328088458e-06	3.0174337796649654e-07
1914	1.1536802162481763e-06	3.0678636773830347e-07
1915	1.089224789601368e-06	3.0678813800477656e-07
1916	9.927001169022072e-07	3.001122885442393e-07
1917	9.629414015372667e-07	2.925979945952609e-07
1918	9.042889977146322e-07	2.8122184809425174e-07
1919	9.212997887126611e-07	2.8306239739452265e-07
1920	8.870731481433072e-07	2.73793087249682e-07
1921	9.609951397188915e-07	2.585185906614892e-07
1922	9.870959729596507e-07	2.4264905107429513e-07
1923	1.0094077457064747e-06	2.4283202597936384e-07
1924	1.0739426313323617e-06	2.5002491911761483e-07
1925	1.1476588334906929e-06	2.5308320467891985e-07
1926	1.1721592240324493e-06	2.52376839934446e-07
1927	1.1770114269893384e-06	2.4624219666488247e-07
1928	1.141426066299443e-06	2.539399608687225e-07
1929	1.1257788271125589e-06	2.5992086908185487e-07
1930	1.0824523185095001e-06	2.5418795043411334e-07
1931	1.086432137396644e-06	2.7127210598467043e-07
1932	1.0624752024211505e-06	2.6410894398460574e-07
1933	1.0702912699603724e-06	2.6793236226499826e-07
1934	1.0334196157860527e-06	2.806068571154745e-07
1935	1.0533875557225007e-06	2.8167746636752e-07
1936	1.0212857546321175e-06	2.967570225109739e-07
1937	1.009626479182251e-06	3.16429664946684e-07
1938	9.378949568729565e-07	3.1097317178461837e-07
